oktmo;mocolor;migrname
86706000;территории Арктической зоны Российской Федерации;Костомукша
86604000;территории Арктической зоны Российской Федерации;Беломорский район
86609000;территории Арктической зоны Российской Федерации;Калевальский район
86612000;территории Арктической зоны Российской Федерации;Кемский район
86621000;территории Арктической зоны Российской Федерации;Лоухский
86645000;территории Арктической зоны Российской Федерации;Сегежский район
87710000;территории Арктической зоны Российской Федерации;Воркута
87715000;территории Арктической зоны Российской Федерации;Инта
87723000;территории Арктической зоны Российской Федерации;Усинск
87652000;территории Арктической зоны Российской Федерации;Усть-Цилемский район
98601000;территории Арктической зоны Российской Федерации;Абыйский район
98606000;территории Арктической зоны Российской Федерации;Аллаиховский район
98610000;территории Арктической зоны Российской Федерации;Анабарский район
98612000;территории Арктической зоны Российской Федерации;Булунский район
98615000;территории Арктической зоны Российской Федерации;Верхнеколымский район
98616000;территории Арктической зоны Российской Федерации;Верхоянский район
98622000;территории Арктической зоны Российской Федерации;Жиганский район
98633000;территории Арктической зоны Российской Федерации;Момский район
98637000;территории Арктической зоны Российской Федерации;ижнеколымский район
98642000;территории Арктической зоны Российской Федерации;Оленекский эвенкийский район
98646000;территории Арктической зоны Российской Федерации;Среднеколымский район
98656000;территории Арктической зоны Российской Федерации;Усть-Янский район
98659000;территории Арктической зоны Российской Федерации;Эвено-Бытантайский национальный район
4729000;территории Арктической зоны Российской Федерации;Норильск
4653000;территории Арктической зоны Российской Федерации;Диксонский район
4654000;территории Арктической зоны Российской Федерации;Туруханский район
4650000;территории Арктической зоны Российской Федерации;Байкитский район
11851000;территории Арктической зоны Российской Федерации;Нарьян-Мар
11811000;территории Арктической зоны Российской Федерации;Заполярный район
11701000;территории Арктической зоны Российской Федерации;Архангельск
11712000;территории Арктической зоны Российской Федерации;Новая Земля
11715000;территории Арктической зоны Российской Федерации;Новодвинск
11730000;территории Арктической зоны Российской Федерации;Северодвинск
11638000;территории Арктической зоны Российской Федерации;Лешуконский район
11642000;территории Арктической зоны Российской Федерации;Мезенский район
11646000;территории Арктической зоны Российской Федерации;Онежский район
11648000;территории Арктической зоны Российской Федерации;Пинежский район
11652000;территории Арктической зоны Российской Федерации;Приморский район
47701000;территории Арктической зоны Российской Федерации;Мурманск
47705000;территории Арктической зоны Российской Федерации;Апатиты
47712000;территории Арктической зоны Российской Федерации;Кировск
47715000;территории Арктической зоны Российской Федерации;Мончегорск
47717000;территории Арктической зоны Российской Федерации;Оленегорск
47719000;территории Арктической зоны Российской Федерации;Полярные Зори
47703000;территории Арктической зоны Российской Федерации;Ковдорский район
47737000;территории Арктической зоны Российской Федерации;Александровск
47735000;территории Арктической зоны Российской Федерации;Видяево
47733000;территории Арктической зоны Российской Федерации;Заозерск
47731000;территории Арктической зоны Российской Федерации;Островной
47730000;территории Арктической зоны Российской Федерации;Североморск
47608000;территории Арктической зоны Российской Федерации;Кандалакша
47605000;территории Арктической зоны Российской Федерации;Кольский район
47610000;территории Арктической зоны Российской Федерации;Ловозерский район
47615000;территории Арктической зоны Российской Федерации;Печенгский район
47620000;территории Арктической зоны Российской Федерации;Терский район
71951000;территории Арктической зоны Российской Федерации;Салехард
71952000;территории Арктической зоны Российской Федерации;Губкинский
71953000;территории Арктической зоны Российской Федерации;Лабытнанги
71955000;территории Арктической зоны Российской Федерации;Муравленко
71956000;территории Арктической зоны Российской Федерации;Новый Уренгой
71958000;территории Арктической зоны Российской Федерации;Ноябрьск
71913000;территории Арктической зоны Российской Федерации;Красноселькупский район
71916000;территории Арктической зоны Российской Федерации;Надымский район
71918000;территории Арктической зоны Российской Федерации;Приуральский район
71920000;территории Арктической зоны Российской Федерации;Пуровский район
71923000;территории Арктической зоны Российской Федерации;Тазовский район
71926000;территории Арктической зоны Российской Федерации;Шурышкарский район
71928000;территории Арктической зоны Российской Федерации;Ямальский район
77701000;территории Арктической зоны Российской Федерации;Анадырь
77615000;территории Арктической зоны Российской Федерации;Иультинский район
77620000;территории Арктической зоны Российской Федерации;Провиденский район
77630000;территории Арктической зоны Российской Федерации;Чаунский район
77603000;территории Арктической зоны Российской Федерации;Анадырский район
77609000;территории Арктической зоны Российской Федерации;Билибинский район
77633000;территории Арктической зоны Российской Федерации;Чукотский район
