SRC,DST,FRAME,migranty,sname,dname
1601000,71952000,100,1,Алейский район,Губкинский
1602000,4653000,100,1,Алтайский район,Диксонский район
1602000,4729000,100,4,Алтайский район,Норильск
1602000,11701000,100,1,Алтайский район,Архангельск
1602000,47701000,100,2,Алтайский район,Мурманск
1602000,47730000,100,1,Алтайский район,Североморск
1602000,71920000,100,4,Алтайский район,Пуровский район
1602000,77603000,100,1,Алтайский район,Анадырский район
1602000,87710000,100,1,Алтайский район,Воркута
1603000,11701000,100,1,Баевский район,Архангельск
1603000,47717000,100,1,Баевский район,Оленегорск
1603000,47737000,100,1,Баевский район,Александровск
1603000,71958000,100,2,Баевский район,Ноябрьск
1604000,4653000,100,1,Бийский район,Диксонский район
1604000,4729000,100,1,Бийский район,Норильск
1604000,71916000,100,1,Бийский район,Надымский район
1604000,71955000,100,1,Бийский район,Муравленко
1605000,4729000,100,1,Благовещенский район,Норильск
1605000,11648000,100,1,Благовещенский район,Пинежский район
1605000,11701000,100,1,Благовещенский район,Архангельск
1605000,71923000,100,1,Благовещенский район,Тазовский район
1605000,71952000,100,1,Благовещенский район,Губкинский
1605000,71956000,100,5,Благовещенский район,Новый Уренгой
1605000,71958000,100,2,Благовещенский район,Ноябрьск
1606000,4654000,100,1,Бурлинский район,Туруханский район
1606000,47701000,100,1,Бурлинский район,Мурманск
1606000,71916000,100,1,Бурлинский район,Надымский район
1606000,71952000,100,1,Бурлинский район,Губкинский
1606000,71956000,100,2,Бурлинский район,Новый Уренгой
1607000,4729000,100,1,Быстроистокский район,Норильск
1608000,4653000,100,1,Волчихинский район,Диксонский район
1608000,4729000,100,2,Волчихинский район,Норильск
1608000,11648000,100,1,Волчихинский район,Пинежский район
1608000,47615000,100,1,Волчихинский район,Печенгский район
1608000,47701000,100,5,Волчихинский район,Мурманск
1608000,47705000,100,1,Волчихинский район,Апатиты
1608000,47730000,100,1,Волчихинский район,Североморск
1608000,71953000,100,1,Волчихинский район,Лабытнанги
1608000,71956000,100,2,Волчихинский район,Новый Уренгой
1608000,71958000,100,2,Волчихинский район,Ноябрьск
1608000,87710000,100,1,Волчихинский район,Воркута
1611000,4729000,100,2,Завьяловский район,Норильск
1611000,47701000,100,1,Завьяловский район,Мурманск
1612000,71918000,100,1,Залесовский район,Приуральский район
1612000,71956000,100,1,Залесовский район,Новый Уренгой
1613000,11701000,100,1,Заринский район,Архангельск
1613000,71955000,100,1,Заринский район,Муравленко
1614000,4729000,100,8,Змеиногорский район,Норильск
1614000,47701000,100,1,Змеиногорский район,Мурманск
1614000,47730000,100,4,Змеиногорский район,Североморск
1614000,71920000,100,1,Змеиногорский район,Пуровский район
1616000,4650000,100,1,Каменский район,Байкитский район
1616000,71916000,100,1,Каменский район,Надымский район
1616000,71958000,100,1,Каменский район,Ноябрьск
1617000,4729000,100,3,Ключевский район,Норильск
1617000,47737000,100,1,Ключевский район,Александровск
1617000,71956000,100,2,Ключевский район,Новый Уренгой
1618000,4729000,100,1,Косихинский район,Норильск
1618000,71952000,100,1,Косихинский район,Губкинский
1619000,4653000,100,1,Красногорский район,Диксонский район
1619000,47730000,100,2,Красногорский район,Североморск
1619000,71956000,100,2,Красногорский район,Новый Уренгой
1620000,71956000,100,1,Краснощёковский район,Новый Уренгой
1620000,71958000,100,1,Краснощёковский район,Ноябрьск
1622000,47701000,100,1,Кулундинский район,Мурманск
1622000,47737000,100,1,Кулундинский район,Александровск
1622000,71951000,100,1,Кулундинский район,Салехард
1622000,71956000,100,1,Кулундинский район,Новый Уренгой
1622000,71958000,100,1,Кулундинский район,Ноябрьск
1622000,77701000,100,1,Кулундинский район,Анадырь
1623000,4729000,100,2,Курьинский район,Норильск
1623000,11701000,100,1,Курьинский район,Архангельск
1623000,47701000,100,1,Курьинский район,Мурманск
1623000,47737000,100,1,Курьинский район,Александровск
1623000,71952000,100,1,Курьинский район,Губкинский
1623000,71953000,100,3,Курьинский район,Лабытнанги
1624000,11730000,100,1,Кытмановский район,Северодвинск
1624000,47737000,100,1,Кытмановский район,Александровск
1625000,11851000,100,1,Локтевский район,Нарьян-Мар
1625000,47615000,100,1,Локтевский район,Печенгский район
1625000,47701000,100,2,Локтевский район,Мурманск
1625000,71951000,100,1,Локтевский район,Салехард
1625000,71952000,100,2,Локтевский район,Губкинский
1625000,71958000,100,2,Локтевский район,Ноябрьск
1625000,86706000,100,1,Локтевский район,Костомукша
1626000,4729000,100,1,Мамонтовский район,Норильск
1626000,47719000,100,1,Мамонтовский район,Полярные Зори
1626000,71916000,100,2,Мамонтовский район,Надымский район
1626000,71952000,100,1,Мамонтовский район,Губкинский
1626000,71953000,100,1,Мамонтовский район,Лабытнанги
1626000,71958000,100,2,Мамонтовский район,Ноябрьск
1627000,4729000,100,3,Михайловский район,Норильск
1627000,47701000,100,2,Михайловский район,Мурманск
1627000,71918000,100,1,Михайловский район,Приуральский район
1627000,71953000,100,1,Михайловский район,Лабытнанги
1627000,77630000,100,1,Михайловский район,Чаунский район
1628000,4729000,100,1,Новичихинский район,Норильск
1629000,4729000,100,1,Зональный район,Норильск
1629000,11642000,100,1,Зональный район,Мезенский район
1629000,47608000,100,2,Зональный район,Кандалакша
1630000,4654000,100,1,Павловский район,Туруханский район
1630000,4729000,100,3,Павловский район,Норильск
1630000,11730000,100,1,Павловский район,Северодвинск
1630000,47701000,100,2,Павловский район,Мурманск
1630000,47737000,100,1,Павловский район,Александровск
1630000,71952000,100,1,Павловский район,Губкинский
1630000,71953000,100,2,Павловский район,Лабытнанги
1630000,71958000,100,1,Павловский район,Ноябрьск
1630000,77701000,100,1,Павловский район,Анадырь
1631000,4653000,100,3,Панкрушихинский район,Диксонский район
1631000,4729000,100,2,Панкрушихинский район,Норильск
1631000,11701000,100,3,Панкрушихинский район,Архангельск
1631000,11730000,100,1,Панкрушихинский район,Северодвинск
1631000,47701000,100,1,Панкрушихинский район,Мурманск
1631000,47737000,100,1,Панкрушихинский район,Александровск
1631000,71958000,100,1,Панкрушихинский район,Ноябрьск
1631000,86645000,100,5,Панкрушихинский район,Сегежский район
1632000,47701000,100,1,Первомайский район,Мурманск
1632000,87710000,100,1,Первомайский район,Воркута
1634000,4729000,100,1,Поспелихинский район,Норильск
1634000,47717000,100,1,Поспелихинский район,Оленегорск
1634000,47730000,100,1,Поспелихинский район,Североморск
1634000,71916000,100,1,Поспелихинский район,Надымский район
1634000,71956000,100,3,Поспелихинский район,Новый Уренгой
1634000,77603000,100,1,Поспелихинский район,Анадырский район
1635000,4729000,100,1,Ребрихинский район,Норильск
1635000,47608000,100,1,Ребрихинский район,Кандалакша
1635000,71956000,100,1,Ребрихинский район,Новый Уренгой
1636000,4653000,100,1,Родинский район,Диксонский район
1636000,4729000,100,1,Родинский район,Норильск
1636000,47701000,100,3,Родинский район,Мурманск
1636000,47737000,100,2,Родинский район,Александровск
1636000,71920000,100,2,Родинский район,Пуровский район
1636000,71956000,100,2,Родинский район,Новый Уренгой
1636000,77609000,100,1,Родинский район,Билибинский район
1637000,4729000,100,1,Романовский район,Норильск
1637000,47701000,100,1,Романовский район,Мурманск
1637000,47730000,100,1,Романовский район,Североморск
1637000,47737000,100,3,Романовский район,Александровск
1637000,71923000,100,1,Романовский район,Тазовский район
1637000,71956000,100,1,Романовский район,Новый Уренгой
1637000,87715000,100,1,Романовский район,Инта
1638000,71956000,100,2,Рубцовский район,Новый Уренгой
