Территория;Широта;Долгота;Размер
Арктическая зона РФ;;;
Республика Коми;;;
ГО Воркута;67.49884;64.05253;10
ГО Инта;66.03169;60.16594;10
ГО Усинск;65.99389;57.52806;10
МР Усть-Цилемский;65.433889;52.150833;0
Мурманская область;;;
ГО Мурманск;68.97917;33.09251;10
МО Ковдорский;67.56616;30.47576;0
МО Апатиты;67.56414;33.4031;0
МО Кировск;67.61475;33.67274;0
МО Мончегорск;67.93972;32.87389;0
МО Оленегорск;68.1432;33.25287;0
МО Полярные Зори;67.36611;32.49806;0
МР Кольский;68.88062;33.01842;0
МР Кандалакшский;67.15123;32.41284;0
МР Ловозерский;68.033333;35.011667;0
МР Печенгский;69.41285;30.22198;0
МР Терский;66.68706;34.34291;0
ЗАТО Североморск;69.06889;33.41622;5
ЗАТО Островной;68.05306;39.51306;5
ЗАТО Заозерск;69.40052;32.44761;5
ЗАТО Видяево;69.321667;32.806389;5
ЗАТО Александровск;69.19889;33.44778;5
Ямало-Ненецкий АО;;;
ГО Салехард;66.53;66.60194;10
ГО Губкинский;64.434;76.50261;10
ГО Лабытнанги;66.65722;66.41833;10
ГО Муравленко;63.78977;74.52301;10
ГО Новый Уренгой;66.08333;76.63333;10
ГО Ноябрьск;63.19309;75.43728;10
МР Красноселькупский;65.705556;82.46;0
МО Надымский;65.53333;72.51667;0
МО Приуральский;66.558889;67.803611;0
МО Пуровский;64.91611;77.77457;0
МО Тазовский;67.45;78.7;0
МР Шурышкарский;65.398056;64.698611;0
МО Ямальский;66.863333;70.83;0
Чукотский АО;;;
ГО Анадырь;64.73424;177.5103;10
ГО Певек;69.70287;170.29993;10
ГО Провидения;64.42289; -173.22641;10
ГО Эгвекинот;66.32166;-179.12198;10
МР Анадырский;64.73424;177.5103;0
МР Билибинский;68.05464;166.43721;0
МР Чукотский;65.584154;-170.988903;0
Красноярский край;;;
ГО Норильск;69.3535;88.2027;10
МР Таймырский Долгано-Ненецкий;69.40583;86.17778;0
МР Туруханский;65.793056;87.962222;0
МР Эвенкийский;64.27769;100.21849;0
Республика Саха (Якутия);;;
МР Абыйский;68.53805;146.18583;0
МР Аллаиховский;70.61897;147.8973;0
МР Анабарский (долгано-эвенкийский);71.965317;114.092297;0
МР Булунский;71.69002;128.86467;0
МР Верхнеколымский ;65.73489;150.89429;0
МР Верхоянский;67.6509;134.6414;0
МР Жиганский;66.781944;123.368056;0
МР Момский;66.455;143.219722;0
МР Нижнеколымский;68.75325;161.33197;0
МР Оленекский;68.504167;112.447222;0
МР Среднеколымский;67.45659;153.70246;0
МР Усть-Янский;69.30958;139.97571;0
МР Эвено-Бытантайский;67.798056;130.398611;0
Республика Карелия;;;
ГО Костомукша;64.571;30.57667;10
МР Беломорский;64.52322;34.7668;0
МР Калевальский;65.19873;31.18999;0
МР Кемский;64.95546;34.57929;0
МР Лоухский;66.07616;33.04745;10
МР Сегежский;63.74147;34.32218;10
Архангельская область (без НАО);;;
МР Лешуконский;64.9;45.766667;0
МР Мезенский;65.8401;44.2542;0
МР Онежский;63.919;38.08355;0
МР Пинежский;64.000556;44.445;0
МР Приморский;64.5401;40.5433;0
ГО Архангельск;64.5401;40.5433;10
ГО Новая Земля;71.53924;52.33212;10
ГО Новодвинск;64.4165;40.8122;5
ГО Северодвинск;64.5635;39.8302;7
Ненецкий АО;;;
ГО Нарьян-Мар;67.63869;53.00371;10
МР Заполярный;67.68026;53.15117;0
