Регион;Дата;"Запросов ""Вызвать скорую"", единиц на 1 млн";"Запросов ""Лечение коронавируса"", единиц на 1 млн";"Запросов ""Пропало обоняние"", единиц на 1 млн";Заражений всего, на 1 млн человек;Заражений всего, случаев;Заражений за день, на 1 млн человек;Заражений за день, случаев;Индекс самоизоляции;Поисковых запросов о коронавирусе, единиц на 1 млн;Смертей всего, на 1 млн человек;Смертей всего, случаев;Смертей за день, на 1 млн человек;Смертей за день, случаев
Апатиты;2020-02-23;;;;;;;;2.58;;;;;
Апатиты;2020-02-24;;;;;;;;2.44;;;;;
Апатиты;2020-02-25;;;;;;;;2.33;;;;;
Апатиты;2020-02-26;;;;;;;;2.43;;;;;
Апатиты;2020-02-27;;;;;;;;2.44;;;;;
Апатиты;2020-02-28;;;;;;;;2.23;;;;;
Апатиты;2020-02-29;;;;;;;;2.20;;;;;
Апатиты;2020-03-01;;;;;;;;2.19;;;;;
Апатиты;2020-03-02;;;;;;;;2.17;;;;;
Апатиты;2020-03-03;;;;;;;;2.16;;;;;
Апатиты;2020-03-04;;;;;;;;2.11;;;;;
Апатиты;2020-03-05;;;;;;;;2.09;;;;;
Апатиты;2020-03-06;;;;;;;;2.31;;;;;
Апатиты;2020-03-07;;;;;;;;2.33;;;;;
Апатиты;2020-03-08;;;;;;;;2.33;;;;;
Апатиты;2020-03-09;;;;;;;;2.31;;;;;
Апатиты;2020-03-10;;;;;;;;2.33;;;;;
Апатиты;2020-03-11;;;;;;;;2.36;;;;;
Апатиты;2020-03-12;;;;;;;;2.40;;;;;
Апатиты;2020-03-13;;;;;;;;2.19;;;;;
Апатиты;2020-03-14;;;;;;;;2.24;;;;;
Апатиты;2020-03-15;;;;;;;;2.30;;;;;
Апатиты;2020-03-16;;;;;;;;2.39;;;;;
Апатиты;2020-03-17;;;;;;;;2.44;;;;;
Апатиты;2020-03-18;;;;;;;;2.47;;;;;
Апатиты;2020-03-19;;;;;;;;2.47;;;;;
Апатиты;2020-03-20;;;;;;;;2.53;;;;;
Апатиты;2020-03-21;;;;;;;;2.53;;;;;
Апатиты;2020-03-22;;;;;;;;2.54;;;;;
Апатиты;2020-03-23;;;;;;;;2.56;;;;;
Апатиты;2020-03-24;;;;;;;;2.60;;;;;
Апатиты;2020-03-25;;;;;;;;2.73;;;;;
Апатиты;2020-03-26;;;;;;;;2.86;;;;;
Апатиты;2020-03-27;;;;;;;;3.09;;;;;
Апатиты;2020-03-28;;;;;;;;3.34;;;;;
Апатиты;2020-03-29;;;;;;;;3.59;;;;;
Апатиты;2020-03-30;;;;;;;;3.81;;;;;
Апатиты;2020-03-31;;;;;;;;4.01;;;;;
Апатиты;2020-04-01;;;;;;;;4.04;;;;;
Апатиты;2020-04-02;;;;;;;;4.04;;;;;
Апатиты;2020-04-03;;;;;;;;4.01;;;;;
Апатиты;2020-04-04;;;;;;;;3.97;;;;;
Апатиты;2020-04-05;;;;;;;;3.93;;;;;
Апатиты;2020-04-06;;;;;;;;3.89;;;;;
Апатиты;2020-04-07;;;;;;;;3.83;;;;;
Апатиты;2020-04-08;;;;;;;;3.79;;;;;
Апатиты;2020-04-09;;;;;;;;3.76;;;;;
Апатиты;2020-04-10;;;;;;;;3.74;;;;;
Апатиты;2020-04-11;;;;;;;;3.73;;;;;
Апатиты;2020-04-12;;;;;;;;3.70;;;;;
Апатиты;2020-04-13;;;;;;;;3.67;;;;;
Апатиты;2020-04-14;;;;;;;;3.67;;;;;
Апатиты;2020-04-15;;;;;;;;3.67;;;;;
Апатиты;2020-04-16;;;;;;;;3.67;;;;;
Апатиты;2020-04-17;;;;;;;;3.66;;;;;
Апатиты;2020-04-18;;;;;;;;3.66;;;;;
Апатиты;2020-04-19;;;;;;;;3.66;;;;;
Апатиты;2020-04-20;;;;;;;;3.67;;;;;
Апатиты;2020-04-21;;;;;;;;3.67;;;;;
Апатиты;2020-04-22;;;;;;;;3.67;;;;;
Апатиты;2020-04-23;;;;;;;;3.66;;;;;
Апатиты;2020-04-24;;;;;;;;3.64;;;;;
Апатиты;2020-04-25;;;;;;;;3.61;;;;;
Апатиты;2020-04-26;;;;;;;;3.59;;;;;
Апатиты;2020-04-27;;;;;;;;3.54;;;;;
Апатиты;2020-04-28;;;;;;;;3.57;;;;;
Апатиты;2020-04-29;;;;;;;;3.54;;;;;
Апатиты;2020-04-30;;;;;;;;3.53;;;;;
Апатиты;2020-05-01;;;;;;;;3.57;;;;;
Апатиты;2020-05-02;;;;;;;;3.60;;;;;
Апатиты;2020-05-03;;;;;;;;3.57;;;;;
Апатиты;2020-05-04;;;;;;;;3.54;;;;;
Апатиты;2020-05-05;;;;;;;;3.46;;;;;
Апатиты;2020-05-06;;;;;;;;3.47;;;;;
Апатиты;2020-05-07;;;;;;;;3.44;;;;;
Апатиты;2020-05-08;;;;;;;;3.47;;;;;
Апатиты;2020-05-09;;;;;;;;3.40;;;;;
Апатиты;2020-05-10;;;;;;;;3.39;;;;;
Апатиты;2020-05-11;;;;;;;;3.43;;;;;
Апатиты;2020-05-12;;;;;;;;3.40;;;;;
Апатиты;2020-05-13;;;;;;;;3.34;;;;;
Апатиты;2020-05-14;;;;;;;;3.34;;;;;
Апатиты;2020-05-15;;;;;;;;3.20;;;;;
Апатиты;2020-05-16;;;;;;;;3.16;;;;;
Апатиты;2020-05-17;;;;;;;;3.11;;;;;
Апатиты;2020-05-18;;;;;;;;3.01;;;;;
Апатиты;2020-05-19;;;;;;;;2.97;;;;;
Апатиты;2020-05-20;;;;;;;;2.93;;;;;
Апатиты;2020-05-21;;;;;;;;2.87;;;;;
Апатиты;2020-05-22;;;;;;;;2.81;;;;;
Апатиты;2020-05-23;;;;;;;;2.76;;;;;
Апатиты;2020-05-24;;;;;;;;2.73;;;;;
Апатиты;2020-05-25;;;;;;;;2.73;;;;;
Апатиты;2020-05-26;;;;;;;;2.71;;;;;
Апатиты;2020-05-27;;;;;;;;2.73;;;;;
Апатиты;2020-05-28;;;;;;;;2.74;;;;;
Апатиты;2020-05-29;;;;;;;;2.74;;;;;
Апатиты;2020-05-30;;;;;;;;2.71;;;;;
Апатиты;2020-05-31;;;;;;;;2.67;;;;;
Апатиты;2020-06-01;;;;;;;;2.61;;;;;
Апатиты;2020-06-02;;;;;;;;2.61;;;;;
Апатиты;2020-06-03;;;;;;;;2.59;;;;;
Апатиты;2020-06-04;;;;;;;;2.59;;;;;
Апатиты;2020-06-05;;;;;;;;2.57;;;;;
Апатиты;2020-06-06;;;;;;;;2.59;;;;;
Апатиты;2020-06-07;;;;;;;;2.60;;;;;
Апатиты;2020-06-08;;;;;;;;2.59;;;;;
Апатиты;2020-06-09;;;;;;;;2.66;;;;;
Апатиты;2020-06-10;;;;;;;;2.61;;;;;
Апатиты;2020-06-11;;;;;;;;2.57;;;;;
Апатиты;2020-06-12;;;;;;;;2.54;;;;;
Апатиты;2020-06-13;;;;;;;;2.53;;;;;
Апатиты;2020-06-14;;;;;;;;2.50;;;;;
Апатиты;2020-06-15;;;;;;;;2.49;;;;;
Апатиты;2020-06-16;;;;;;;;2.39;;;;;
Апатиты;2020-06-17;;;;;;;;2.40;;;;;
Апатиты;2020-06-18;;;;;;;;2.39;;;;;
Апатиты;2020-06-19;;;;;;;;2.37;;;;;
Апатиты;2020-06-20;;;;;;;;2.37;;;;;
Апатиты;2020-06-21;;;;;;;;2.49;;;;;
Апатиты;2020-06-22;;;;;;;;2.46;;;;;
Апатиты;2020-06-23;;;;;;;;2.40;;;;;
Апатиты;2020-06-24;;;;;;;;2.41;;;;;
Апатиты;2020-06-25;;;;;;;;2.43;;;;;
Апатиты;2020-06-26;;;;;;;;2.43;;;;;
Апатиты;2020-06-27;;;;;;;;2.43;;;;;
Апатиты;2020-06-28;;;;;;;;2.44;;;;;
Апатиты;2020-06-29;;;;;;;;2.46;;;;;
Апатиты;2020-06-30;;;;;;;;2.47;;;;;
Апатиты;2020-07-01;;;;;;;;2.44;;;;;
Апатиты;2020-07-02;;;;;;;;2.47;;;;;
Апатиты;2020-07-03;;;;;;;;2.47;;;;;
Апатиты;2020-07-04;;;;;;;;2.44;;;;;
Апатиты;2020-07-05;;;;;;;;2.31;;;;;
Апатиты;2020-07-06;;;;;;;;2.33;;;;;
Апатиты;2020-07-07;;;;;;;;2.33;;;;;
Апатиты;2020-07-08;;;;;;;;2.39;;;;;
Апатиты;2020-07-09;;;;;;;;2.36;;;;;
Апатиты;2020-07-10;;;;;;;;2.37;;;;;
Апатиты;2020-07-11;;;;;;;;2.39;;;;;
Апатиты;2020-07-12;;;;;;;;2.36;;;;;
Апатиты;2020-07-13;;;;;;;;2.34;;;;;
Апатиты;2020-07-14;;;;;;;;2.33;;;;;
Апатиты;2020-07-15;;;;;;;;2.26;;;;;
Апатиты;2020-07-16;;;;;;;;2.24;;;;;
Апатиты;2020-07-17;;;;;;;;2.23;;;;;
Апатиты;2020-07-18;;;;;;;;2.23;;;;;
Апатиты;2020-07-19;;;;;;;;2.26;;;;;
Апатиты;2020-07-20;;;;;;;;2.31;;;;;
Апатиты;2020-07-21;;;;;;;;2.39;;;;;
Апатиты;2020-07-22;;;;;;;;2.40;;;;;
Апатиты;2020-07-23;;;;;;;;2.40;;;;;
Апатиты;2020-07-24;;;;;;;;2.41;;;;;
Апатиты;2020-07-25;;;;;;;;2.41;;;;;
Апатиты;2020-07-26;;;;;;;;2.41;;;;;
Апатиты;2020-07-27;;;;;;;;2.37;;;;;
Апатиты;2020-07-28;;;;;;;;2.34;;;;;
Апатиты;2020-07-29;;;;;;;;2.37;;;;;
Апатиты;2020-07-30;;;;;;;;2.39;;;;;
Апатиты;2020-07-31;;;;;;;;2.41;;;;;
