Территория;Год;кадры высшей квалификации;высшее образование;неполное высшее образование;среднее профессиональное образование;среднее общее образование;основное общее образование;начальное образование;не имеют образования
Арктическая зона РФ;2010 год;0.6;21.3;4.0;41.7;18.4;10.2;3.4;0.3
Республика Коми;2010 год;0.6;16.8;3.2;45.1;20.1;10.6;3.3;0.4
ГО Воркута;2010 год;0.2;17.1;3.4;47.6;20.3;8.7;2.3;0.4
ГО Инта;2010 год;0.4;14.0;2.5;49.3;18.9;10.3;4.1;0.4
ГО Усинск;2010 год;1.6;20.6;4.0;39.8;21.0;10.3;2.5;0.2
МР Усть-Цилемский;2010 год;0.4;8.1;1.3;36.9;18.6;24.2;9.7;0.7
Мурманская область;2010 год;0.6;22.2;3.9;42.0;19.2;8.8;3.1;0.3
ГО Мурманск;2010 год;0.7;26.4;4.8;40.2;17.2;7.6;2.8;0.2
МО Ковдорский;2010 год;0.4;15.6;2.7;44.7;22.8;9.8;3.7;0.4
МО Апатиты;2010 год;1.1;18.7;4.6;44.7;16.4;9.6;3.7;1.3
МО Кировск;2010 год;0.3;18.2;3.7;41.9;20.7;10.5;4.2;0.6
МО Мончегорск;2010 год;0.3;19.1;2.8;46.0;17.3;9.7;4.2;0.6
МО Оленегорск;2010 год;0.4;18.4;3.1;45.8;18.9;9.4;3.7;0.3
МО Полярные Зори;2010 год;0.6;23.7;2.7;46.0;15.5;8.3;2.7;0.3
МР Кольский;2010 год;0.2;15.2;3.1;41.7;23.5;12.5;3.6;0.3
МР Кандалакшский;2010 год;0.3;14.2;2.0;39.8;26.9;11.4;5.1;0.3
МР Ловозерский;2010 год;0.2;13.2;2.5;45.0;22.8;12.4;3.5;0.4
МР Печенгский;2010 год;0.4;16.9;3.4;43.3;23.2;9.9;2.7;0.2
МР Терский;2010 год;0.3;10.8;1.6;36.0;28.3;16.6;6.2;0.2
ЗАТО Североморск;2010 год;0.9;26.2;4.1;42.5;18.0;6.9;1.3;0.1
ЗАТО Островной;2010 год;0.1;23.6;3.7;38.2;24.9;8.0;1.3;0.1
ЗАТО Заозерск;2010 год;0.5;31.5;3.5;44.9;13.8;4.7;1.0;0.0
ЗАТО Видяево;2010 год;0.4;27.8;4.8;39.4;19.3;7.0;1.3;0.1
ЗАТО Александровск;2010 год;0.5;25.1;3.3;41.4;21.9;6.8;1.0;0.1
Ямало-Ненецкий АО;2010 год;0.6;26.7;4.9;38.5;17.4;8.8;2.7;0.4
ГО Салехард;2010 год;1.6;33.2;5.7;34.2;13.7;8.5;2.7;0.3
ГО Губкинский;2010 год;0.1;33.7;6.0;39.3;14.8;5.1;1.0;0.1
ГО Лабытнанги;2010 год;0.4;22.0;4.0;39.5;20.2;11.2;2.6;0.2
ГО Муравленко;2010 год;0.2;22.0;4.9;43.0;22.0;6.3;1.5;0.1
ГО Новый Уренгой;2010 год;0.6;33.7;5.3;37.0;16.7;5.6;0.9;0.1
ГО Ноябрьск;2010 год;0.4;26.3;5.7;42.7;17.2;6.4;1.3;0.1
МР Красноселькупский;2010 год;0.0;19.5;4.3;35.8;22.7;13.5;3.8;0.4
МО Надымский;2010 год;1.4;29.6;5.1;38.4;16.1;7.3;1.9;0.2
