Территория;Тип;Субъект РФ;Частично;ОКТМО;Административный центр;Население;Население процент;Крупнейшая национальность;Вторая национальность
Арктическая зона РФ;макрорегион;;;нет;нет;2 380 695;100,0;русские;украинцы
Республика Коми;субъект Российской Федерации;;Входит в АЗРФ частично. ;87000000;г. Сыктывкар;137 951;5,8;русские;коми
ГО Воркута;городской округ;в Республике Коми;;87710000;г. Воркута;68 425;2,9;русские;украинцы
ГО Инта;городской округ;в Республике Коми;;87715000;г. Инта;21 857;0,9;русские;коми
ГО Усинск;городской округ;в Республике Коми;;87723000;г. Усинск;36 913;1,6;русские;коми
МР Усть-Цилемский;муниципальный район;в Республике Коми;;87652000;с. Усть-Цильма;10 756;0,5;русские;коми
Мурманская область;субъект Российской Федерации;;;47000000;г. Мурманск;667 744;28,0;русские;украинцы
ГО Мурманск;городской округ;в Мурманской области;;47701000;г. Мурманск;270 384;11,4;русские;украинцы
МО Ковдорский;муниципальный округ;в Мурманской области;;47703000;г. Ковдор;17 182;0,7;русские;украинцы
МО Апатиты;муниципальный округ;в Мурманской области;;47705000;г. Апатиты;49 663;2,1;русские;украинцы
МО Кировск;муниципальный округ;в Мурманской области;;47712000;г. Кировск;26 852;1,1;русские;украинцы
МО Мончегорск;муниципальный округ;в Мурманской области;;47715000;г. Мончегорск;42 154;1,8;русские;украинцы
МО Оленегорск;муниципальный округ;в Мурманской области;;47717000;г. Оленегорск;28 159;1,2;русские;украинцы
МО Полярные Зори;муниципальный округ;в Мурманской области;;47719000;г. Полярные Зори;15 818;0,7;русские;украинцы
МР Кольский;муниципальный район;в Мурманской области;;47605000;г. Кола;34 112;1,4;русские;украинцы
МР Кандалакшский;муниципальный район;в Мурманской области;;47608000;г. Кандалакша;40 981;1,7;русские;украинцы
МР Ловозерский;муниципальный район;в Мурманской области;;47610000;с. Ловозеро;8 852;0,4;русские;коми
МР Печенгский;муниципальный район;в Мурманской области;;47615000;пгт Никель;32 053;1,3;русские;украинцы
МР Терский;муниципальный район;в Мурманской области;;47620000;пгт Умба;4 682;0,2;русские;украинцы
ЗАТО Североморск;городской округ (закрытое административно-территориальное образование);в Мурманской области;;47730000;г. Североморск;50 796;2,1;;
ЗАТО Островной;городской округ (закрытое административно-территориальное образование);в Мурманской области;;47731000;г. Островной;1 508;0,1;;
ЗАТО Заозерск;городской округ (закрытое административно-территориальное образование);в Мурманской области;;47733000;г. Заозерск;7 762;0,3;;
ЗАТО Видяево;городской округ (закрытое административно-территориальное образование);в Мурманской области;;47735000;пос. Видяево;4 327;0,2;;
ЗАТО Александровск;городской округ (закрытое административно-территориальное образование);в Мурманской области;;47737000;г. Полярный;32 459;1,4;;
Ямало-Ненецкий АО;субъект Российской Федерации;;;71900000;г. Салехард;510 490;21,4;русские;украинцы
ГО Салехард;городской округ;в Ямало-Ненецком автономном округе;;71951000;г. Салехард;47 983;2,0;русские;татары
ГО Губкинский;городской округ;в Ямало-Ненецком автономном округе;;71952000;г. Губкинский;33 273;1,4;русские;украинцы
ГО Лабытнанги;городской округ;в Ямало-Ненецком автономном округе;;71953000;г. Лабытнанги;30 532;1,3;русские;украинцы
ГО Муравленко;городской округ;в Ямало-Ненецком автономном округе;;71955000;г. Муравленко;29 233;1,2;русские;украинцы
ГО Новый Уренгой;городской округ;в Ямало-Ненецком автономном округе;;71956000;г. Новый Уренгой;107 251;4,5;русские;украинцы
ГО Ноябрьск;городской округ;в Ямало-Ненецком автономном округе;;71958000;г. Ноябрьск;100 188;4,2;русские;украинцы
МР Красноселькупский;муниципальный район;в Ямало-Ненецком автономном округе;;71913000;с. Красноселькуп;5 789;0,2;русские;селькупы
МО Надымский;муниципальный округ;в Ямало-Ненецком автономном округе;;71916000;г. Надым;66 938;2,8;русские;украинцы
