Территория;Тип;Субъект РФ;Частично;ОКТМО;Административный центр;Крупнейшая национальность, 2010 г.;Вторая национальность, 2010 г.;Площадь территории, км?;Численность населения, 2010 г., человек;Численность населения, 2021 г., человек;Изменение численности населения, 2010-2021 гг., %;Плотность населения, 2010 г.;Плотность населения, 2021 г.;Численность мужчин, 2010 г., человек;Численность мужчин, 2021 г., человек;Доля мужчин, 2010 г., %;Доля мужчин, 2021 г., %;Изменение доли мужчин, 2010-2021 гг., пп.;Численность женщин, 2010 г., человек;Численность женщин, 2021 г., человек;Доля женщин, 2010 г., %;Доля женщин, 2021 г., %;Изменение доли женщин, 2010-2021 гг., пп.;Численность городского населения, 2010 г., человек;Численность городского населения, 2021 г., человек;Численность сельского населения, 2010 г., человек;Численность сельского населения, 2021 г., человек;Степень урбанизации, 2010 г., %;Степень урбанизации, 2021 г., %;Изменение степени урбанизации, 2010-2021 гг., пп.;Ранг 1;Ранг 2;Ранг 3;Ранг 4;Ранг 5;Ранг 6;Ранг 7;Ранг 8;Ранг 9;Ранг 10;Ранг 11;Ранг 12;Ранг 13;Ранг 14;Ранг 15;Ранг 16;Ранг 17;Ранг 18;Ранг 19;Ранг 20;Ранг 21;Ранг 22;Ранг 23;;;
Арктическая зона РФ;макрорегион;;;нет;нет;русские;украинцы;5298835;2743166;2380695;-13,2;0,52;0,45;1311005;1129067;47,8;47,4;-0,4;1432161;1251628;52,2;52,6;0,4;2373699;2061660;369467;319035;86,5;86,6;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Коми;субъект РФ;;Входит в АЗРФ частично.;87000000;г. Сыктывкар;русские;коми;127439;191300;137951;-27,9;1,50;1,08;91203;65371;47,7;47,4;-0,3;100097;72580;52,3;52,6;0,3;170512;121732;20788;16219;89,1;88,2;-0,9;8 из 9;5 из 9;5 из 9;9 из 9;4 из 9;4 из 9;5 из 9;5 из 9;7 из 9;6 из 9;4 из 9;5 из 9;5 из 9;3 из 9;4 из 9;6 из 9;5 из 9;5 из 9;7 из 9;7 из 9;3 из 9;3 из 9;8 из 9;;;
ГО Воркута;городской округ;Республика Коми;;87710000;г. Воркута;русские;украинцы;24180;95854;68425;-28,6;3,96;2,83;45554;32431;47,5;47,4;-0,1;50300;35994;52,5;52,6;0,1;95241;68128;613;297;99,4;99,6;0,2;41 из 75;7 из 75;7 из 75;64 из 75;27 из 75;29 из 75;7 из 75;8 из 75;55 из 75;52 из 75;26 из 75;7 из 75;7 из 75;21 из 75;24 из 75;50 из 75;7 из 75;7 из 75;59 из 75;62 из 75;12 из 75;13 из 75;30 из 75;;;
ГО Инта;городской округ;Республика Коми;;87715000;г. Инта;русские;коми;30097;35181;21857;-37,9;1,17;0,73;16192;9826;46,0;45,0;-1,1;18989;12031;54,0;55,0;1,1;33196;20709;1985;1148;94,4;94,7;0,4;37 из 75;22 из 75;31 из 75;75 из 75;35 из 75;35 из 75;24 из 75;31 из 75;65 из 75;72 из 75;58 из 75;20 из 75;31 из 75;11 из 75;4 из 75;18 из 75;20 из 75;28 из 75;50 из 75;53 из 75;22 из 75;21 из 75;27 из 75;;;
ГО Усинск;городской округ;Республика Коми;;87723000;г. Усинск;русские;коми;30564;47229;36913;-21,8;1,55;1,21;23100;17873;48,9;48,4;-0,5;24129;19040;51,1;51,6;0,5;42075;32895;5154;4018;89,1;89,1;0,0;35 из 75;14 из 75;14 из 75;53 из 75;32 из 75;32 из 75;13 из 75;14 из 75;36 из 75;36 из 75;43 из 75;14 из 75;14 из 75;40 из 75;40 из 75;33 из 75;14 из 75;16 из 75;24 из 75;29 из 75;25 из 75;27 из 75;34 из 75;;;
МР Усть-Цилемский;муниципальный район;Республика Коми;;87652000;с. Усть-Цильма;русские;коми;42598;13036;10756;-17,5;0,31;0,25;6357;5241;48,8;48,7;0,0;6679;5515;51,2;51,3;0,0;0;0;13036;10756;0,0;0,0;0,0;32 из 75;44 из 75;42 из 75;45 из 75;43 из 75;42 из 75;44 из 75;42 из 75;37 из 75;30 из 75;21 из 75;44 из 75;43 из 75;39 из 75;46 из 75;55 из 75;62 из 75;59 из 75;6 из 75;7 из 75;62 из 75;59 из 75;35 из 75;;;
Мурманская область;субъект РФ;;;47000000;г. Мурманск;русские;украинцы;141427;795409;667744;-16,1;5,62;4,72;379560;314949;47,7;47,2;-0,6;415849;352795;52,3;52,8;0,6;738382;621639;57027;46105;92,8;93,1;0,3;7 из 9;1 из 9;1 из 9;6 из 9;1 из 9;1 из 9;1 из 9;1 из 9;6 из 9;7 из 9;6 из 9;1 из 9;1 из 9;4 из 9;3 из 9;4 из 9;1 из 9;1 из 9;3 из 9;3 из 9;1 из 9;1 из 9;5 из 9;;;
ГО Мурманск;городской округ;Мурманская область;;47701000;г. Мурманск;русские;украинцы;168;307257;270384;-12,0;1827,39;1608,09;141130;124499;45,9;46,0;0,1;166127;145885;54,1;54,0;-0,1;307257;270384;0;0;100,0;100,0;0,0;68 из 75;2 из 75;2 из 75;29 из 75;1 из 75;1 из 75;2 из 75;2 из 75;68 из 75;66 из 75;16 из 75;2 из 75;2 из 75;8 из 75;10 из 75;60 из 75;2 из 75;2 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
МО Ковдорский;муниципальный округ;Мурманская область;;47703000;г. Ковдор;русские;украинцы;4066;21297;17182;-19,3;5,24;4,23;9796;7978;46,0;46,4;0,4;11501;9204;54,0;53,6;-0,4;18820;15770;2477;1412;88,4;91,8;3,4;52 из 75;33 из 75;35 из 75;49 из 75;24 из 75;24 из 75;34 из 75;35 из 75;66 из 75;60 из 75;9 из 75;32 из 75;33 из 75;10 из 75;16 из 75;67 из 75;31 из 75;31 из 75;46 из 75;51 из 75;26 из 75;24 из 75;10 из 75;;;
МО Апатиты;муниципальный округ;Мурманская область;;47705000;г. Апатиты;русские;украинцы;2461;59674;49663;-16,8;24,25;20,18;27081;22355;45,4;45,0;-0,4;32593;27308;54,6;55,0;0,4;59672;49647;2;16;100,0;100,0;0,0;56 из 75;10 из 75;10 из 75;42 из 75;18 из 75;18 из 75;10 из 75;11 из 75;73 из 75;71 из 75;40 из 75;9 из 75;9 из 75;3 из 75;5 из 75;36 из 75;9 из 75;9 из 75;65 из 75;65 из 75;11 из 75;11 из 75;59 из 75;;;
