Организация;Год;Биологические науки;Все направления;Гуманитарные науки;Компьютерные и информационные науки;Математика;Медицинские науки;Науки о Земле;Общественные науки;Сельскохозяйственные науки;Технические науки;Физические науки;Химические науки
Кольский научный центр РАН;2012;14.3;548.4;4.5;2.2;0.0;0.1;64.9;279.4;0.5;103.7;9.0;69.8
Кольский научный центр РАН;2013;23.7;664.0;6.0;3.1;0.0;1.0;69.5;391.2;6.9;79.9;15.7;66.9
Кольский научный центр РАН;2014;22.1;723.5;5.0;3.0;1.0;0.3;67.9;427.3;3.5;99.5;23.4;70.5
Кольский научный центр РАН;2015;20.6;555.3;0.0;1.4;1.0;0.4;77.5;219.0;0.6;146.1;18.1;70.6
Кольский научный центр РАН;2016;17.9;507.1;3.3;1.9;0.0;3.1;122.7;204.9;1.3;72.0;33.4;46.6
Кольский научный центр РАН;2017;19.1;635.8;8.4;3.2;0.0;2.5;85.1;264.0;3.1;134.5;59.1;57.0
Кольский научный центр РАН;2018;21.1;674.3;16.2;2.2;0.3;0.9;182.2;255.3;7.7;99.5;9.8;79.3
Кольский научный центр РАН;2019;67.8;722.3;8.7;1.8;0.0;3.9;223.8;241.1;1.2;87.6;29.5;57.0
Кольский научный центр РАН;2020;39.6;752.2;8.1;2.8;1.0;6.0;165.1;261.7;1.0;79.0;83.8;104.1
Кольский научный центр РАН;2021;65.4;802.6;22.9;0.8;0.0;1.1;265.5;179.2;7.8;123.8;72.1;64.1
САФУ им. М.В. Ломоносова;2012;4.8;574.6;198.2;1.0;10.2;13.1;3.3;241.6;30.2;31.5;23.6;17.1
САФУ им. М.В. Ломоносова;2013;7.3;1027.0;394.5;0.4;5.5;34.1;3.7;452.4;22.7;46.9;39.1;20.3
САФУ им. М.В. Ломоносова;2014;18.0;917.2;222.0;0.0;6.5;23.5;4.5;468.6;65.8;43.4;34.6;30.3
САФУ им. М.В. Ломоносова;2015;39.5;1082.3;282.7;0.2;5.6;21.0;9.8;494.5;76.4;60.1;51.7;40.9
САФУ им. М.В. Ломоносова;2016;30.7;947.5;239.8;0.4;18.8;33.4;13.3;434.7;67.0;49.1;37.7;22.7
САФУ им. М.В. Ломоносова;2017;37.3;884.2;252.4;1.1;35.9;23.8;22.8;332.5;60.9;25.2;25.8;66.2
