Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
г. Архангельск;18328;Архангельская область;Архангельск;Архангельск;г;348343;67543;64.32.35;040.32.14;64.54305556;40.53722222;11701000001;0;1;город
г. Мурманск;27232;Мурманская область;Городской округ город Мурманск;Мурманск;г;298096;54287;68.58.10;033.04.28;68.96944444;33.07444444;47701000001;0;1;город
г. Северодвинск;148205;Архангельская область;Северодвинск;Северодвинск;г;182291;36999;64.33.45;039.49.05;64.5625;39.81805556;11730000001;0;1;город
г. Норильск;96814;Красноярский край;Норильск;Норильск;г;175365;39408;69.20.57;088.12.04;69.34916667;88.20111111;4729000001;0;1;город
г. Новый Уренгой;120656;Ямало-Ненецкий автономный округ;Новый Уренгой;Новый Уренгой;г;116938;30096;66.05.02;076.40.52;66.08388889;76.68111111;71956000;1;0;город
г. Ноябрьск;78904;Ямало-Ненецкий автономный округ;Ноябрьск;Ноябрьск;г;106135;26004;63.12.06;075.27.03;63.20166667;75.45083333;71958000001;0;1;город
г. Воркута;70664;Республика Коми;ГО Воркута;Воркута;г;58745;13905;67.29.51;064.03.39;67.4975;64.06083333;87710000001;0;1;город
г. Апатиты;129415;Мурманская область;Городской округ город Апатиты с подведомственной территорией;Апатиты;г;56730;10750;67.34.04;033.24.24;67.56777778;33.40666667;47705000;1;0;город
г. Салехард;142453;Ямало-Ненецкий автономный округ;Салехард;Салехард;г;50064;13667;66.31.51;066.36.50;66.53083333;66.61388889;71951000001;0;1;город
г. Надым;55512;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Надым;г;44600;10700;65.32.09;072.31.53;65.53583333;72.53138889;71916151001;0;1;город
г. Мончегорск;44216;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;Мончегорск;г;42581;8534;67.56.18;032.56.09;67.93833333;32.93583333;47715000111;1;0;город
г. Новодвинск;52245;Архангельская область;Новодвинск;Новодвинск;г;38082;8117;64.24.49;040.49.15;64.41361111;40.82083333;11715000001;0;1;город
г. Усинск;116834;Республика Коми;ГО Усинск;Усинск;г;37658;9525;65.59.38;057.33.25;65.99388889;57.55694444;87723000001;0;1;город
г. Североморск;78976;Мурманская область;Городской округ ЗАТО город Североморск;Североморск;г;35875;10922;69.04.35;033.25.04;69.07638889;33.41777778;47730000001;0;1;город
г. Кандалакша;107697;Мурманская область;Кандалакшский муниципальный район;Кандалакша;г;35750;6910;67.09.24;032.24.51;67.15666667;32.41416667;47608101001;0;1;город
г. Муравленко;96899;Ямало-Ненецкий автономный округ;Муравленко;Муравленко;г;32132;8554;63.47.43;074.29.40;63.79527778;74.49444444;71955000001;0;1;город
г. Костомукша;23003;Республика Карелия;Костомукшский;Костомукша;г;29381;6172;64.35.21;030.36.06;64.58916667;30.60166667;86706000001;0;1;город
г. Кировск;7346;Мурманская область;Городской округ город Кировск с подведомственной территорией;Кировск;г;28832;5354;67.36.54;033.39.49;67.615;33.66361111;47712000;1;0;город
г. Инта;45508;Республика Коми;ГО Инта;Инта;г;28831;5157;66.02.12;060.06.55;66.03666667;60.11527778;87715000001;0;1;город
г. Губкинский;131226;Ямало-Ненецкий автономный округ;Губкинский;Губкинский;г;28564;7063;64.25.57;076.30.02;64.4325;76.50055556;71952000001;0;1;город
г. Сегежа;128956;Республика Карелия;Сегежский;Сегежа;г;27108;5236;63.44.37;034.18.45;63.74361111;34.3125;86645101001;0;1;город
г. Лабытнанги;98520;Ямало-Ненецкий автономный округ;Лабытнанги;Лабытнанги;г;26211;6231;66.39.34;066.23.18;66.65944444;66.38833333;71953000001;0;1;город
г. Нарьян-Мар;126756;Ненецкий автономный округ;Город Нарьян-Мар;Нарьян-Мар;г;24921;5734;67.38.17;053.00.25;67.63805556;53.00694444;11851000001;0;1;город
г. Дудинка;55322;Красноярский край;Таймырский Долгано-Ненецкий район;Дудинка;г;22175;5014;69.24.20;086.10.40;69.40555556;86.17777778;4653101001;0;1;город
