Территория;Год;Субъект РФ;Тип;Уровень;Часть Арктики;ОКТМО;Площадь территории, кв. км;Стоимость фиксированного набора потребительских товаров и услуг, рублей;Численность населения (по переписям), человек;Численность населения на начало года (всего), человек;Среднегодовая численность населения, человек;Общий прирост населения, человек;Коэффициент общего прироста населения;Плотность населения (по данным переписей), человек на 1 кв. км;Плотность населения (по данным текущего учета), человек на 1 кв. км;Число родившихся (без мертворожденных), человек;Число умерших, человек;Естественный прирост (убыль), человек;Общий коэффициент рождаемости, промилле;Общий коэффициент смертности, промилле;Общий коэффициент естественного прироста (убыли);Специальный коэффициент рождаемости;Стандартизованный коэффициент рождаемости;Стандартизованный коэффициент смертности;Число прибывших, человек;Число выбывших, человек;Миграционный прирост (всего), человек;Миграционный прирост (внутрирегиональный), человек;Миграционный прирост (межрегиональный), человек;Миграционный прирост (международный), человек;Коэффициент миграционного прироста (общий);Коэффициент миграционного прироста (внутрирегиональный);Коэффициент миграционного прироста (межрегиональный);Коэффициент миграционного прироста (международный);Численность населения на начало года (моложе трудоспособного возраста), человек;Численность населения на начало года (трудоспособного возраста), человек;Численность населения на начало года (старше трудоспособного возраста), человек;Численность населения на начало года (мужчины), человек;Численность населения на начало года (женщины), человек;Удельный вес населения моложе трудоспособного возраста, %;Удельный вес населения трудоспособного возраста, %;Удельный вес населения старше трудоспособного возраста, %;Удельный вес мужчин, %;Удельный вес женщин, %;Общая демографическая нагрузка;Демографическая нагрузка лицами моложе трудоспособного возраста;Демографическая нагрузка лицами старше трудоспособного возраста;Среднесписочная численность работников организаций, человек;Численность работников организаций муниципальной формы собственности, человек;Удельный вес работников организаций муниципальной формы собственности, %;Среднемесячная заработная плата работников организаций, рублей;Отношение среднемесячной заработной платы к стоимости фиксированного набора, раз;Среднемесячная заработная плата в организацях мунипиальной формы собственности, рублей;Отношение зарплаты в муницип. организациях к стоимости фиксированного набора, раз;Отношение зарплаты в муницип. организациях к зарплате во всех организациях, %;Отгружено товаров собственного производства, выполнено работ и услуг, млн рублей;Отгружено товаров, выполнено работ и услуг на 1 человека, тыс. Рублей;Отгружено товаров, выполнено работ и услуг на 1 кв. км площади, тыс. Рублей;Приведенный контингент студентов (среднее проф. образование);Приведенный контингент студентов (среднее проф. образование) на 1000 человек;Приведенный контингент студентов (высшее образование);Приведенный контингент студентов (высшее образование) на 1000 человек;Комплексный балл публикационной результативности организаций (без филиалов)
Арктическая зона РФ;1939;;макрорегион;макрорегион;;;5298835;;1121545;;;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арктическая зона РФ;1959;;макрорегион;макрорегион;;;5298835;;1904527;;;;;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арктическая зона РФ;1970;;макрорегион;макрорегион;;;5298835;;2465439;;;;;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арктическая зона РФ;1979;;макрорегион;макрорегион;;;5298835;;3003521;;;;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арктическая зона РФ;1989;;макрорегион;макрорегион;;;5298835;;3808102;;;;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арктическая зона РФ;2002;;макрорегион;макрорегион;;;5298835;;3012411;;;;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арктическая зона РФ;2010;;макрорегион;макрорегион;;;5298835;;2743166;2743166;2742235;-1863;-0.7;0.52;0.52;36007;30251;5756;13.1;11.0;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;
Арктическая зона РФ;2011;;макрорегион;макрорегион;;;5298835;;;2741303;2738520;-5566;-2.0;;0.52;35600;28758;6842;13.0;10.5;2.5;;;;;;;;;;;;;;501630;1800214;546874;1309473;1428743;18.1;64.1;17.8;47.9;52.1;560;282;278;;;;;0.8;;;;;;;;;;;
Арктическая зона РФ;2012;;макрорегион;макрорегион;;;5298835;;;2735737;2728341;-14793;-5.4;;0.51;37353;27756;9597;13.7;10.2;3.5;51.8;13.7;14.2;126007;150689;-24682;-1421;-26922;6354;-90.5;-5.2;-98.7;23.3;506957;1779042;447550;1313196;1420353;18.7;64.7;16.6;48.1;51.9;546;289;257;;;;;1.8;;;;;;;;;;;2078.8
Арктическая зона РФ;2013;;макрорегион;макрорегион;;;5298835;;;2720944;2707840;-26208;-9.7;;0.51;36664;26932;9732;13.5;9.9;3.6;52.1;13.6;13.8;127794;163913;-36119;-2550;-35669;5342;-133.4;-9.4;-131.7;19.7;513891;1749235;458289;1310364;1411181;19.1;63.8;17.1;48.1;51.9;568;299;268;1047597;193163;18.4;48161;3.7;36662.8;2.8;76.1;;;;;;24990.4;9.2;2735.7
Арктическая зона РФ;2014;;макрорегион;макрорегион;;;5298835;;;2694736;2688035;-13402;-5.0;;0.51;36783;26818;9965;13.7;10.0;3.7;53.5;13.9;13.7;134189;157741;-23552;-1174;-26441;6799;-87.6;-4.4;-98.4;25.3;520752;1705424;469025;1295499;1399702;19.5;62.8;17.7;48.1;51.9;592;310;282;1025607;184842;18.0;52025;3.6;39790.3;2.8;76.5;3455049;1266;652;;;24033.0;8.9;2539.3
Арктическая зона РФ;2015;;макрорегион;макрорегион;;;5298835;;;2681334;2672584;-17500;-6.5;;0.50;36371;27096;9275;13.6;10.1;3.5;53.9;13.9;13.9;129528;156292;-26764;-248;-24766;1187;-100.1;-0.9;-92.7;4.4;527584;1671449;482759;1288531;1393261;19.9;61.8;18.3;48.0;52.0;618;322;296;1015649;179886;17.7;54759;3.4;40906.8;2.6;74.7;4085183;1509;771;;;20123.1;7.5;2676.2
Арктическая зона РФ;2016;;макрорегион;макрорегион;;;5298835;;;2663834;2658880;-9909;-3.7;;0.50;33917;27025;6892;12.8;10.2;2.6;51.1;13.1;13.8;132501;149634;-17133;-358;-18535;4461;-64.4;-1.3;-69.7;16.8;536080;1631920;496293;1277934;1386359;20.3;60.8;18.9;48.0;52.0;644;333;311;1009660;169524;16.8;58946;3.5;42276.5;2.5;71.7;4455916;1658;841;;;18687.1;7.0;2429.3
Арктическая зона РФ;2017;;макрорегион;макрорегион;;;5298835;;;2653925;2647633;-12585;-4.8;;0.50;30913;25807;5106;11.7;9.7;1.9;47.1;12.0;13.3;132738;150211;-17473;-699;-17637;3341;-66.0;-2.6;-66.6;12.6;541607;1602787;509531;1273482;1380443;20.5;60.1;19.5;48.0;52.0;665;341;324;1008458;165774;17.0;62674;3.6;45094.8;2.6;72.0;5317174;1990;1004;;;18669.2;7.1;2655.8
Арктическая зона РФ;2018;;макрорегион;макрорегион;;;5298835;;;2641340;2635307;-12067;-4.6;;0.50;29024;25989;3035;11.0;9.9;1.2;44.9;11.4;13.3;136301;151291;-14990;-621;-13792;1912;-56.9;-2.4;-52.3;7.3;542839;1577070;521431;1268974;1372366;20.6;59.4;20.0;48.1;51.9;682;346;337;1000995;164178;16.9;68983;3.9;50120.8;2.8;72.7;6494290;2443;1226;;;18050.6;6.8;2501.2
Арктическая зона РФ;2019;;макрорегион;макрорегион;;;5298835;;;2629273;2623994;-10559;-4.0;;0.50;26529;25469;1060;10.1;9.7;0.4;41.2;10.4;13.0;126322;138169;-11847;-110;-15397;5964;-45.1;-0.4;-58.7;22.7;540371;1555901;533001;1264252;1365021;20.5;59.5;20.0;48.1;51.9;681;344;336;1001774;161273;16.6;73968;4.0;53854.5;2.9;72.8;7084967;2676;1337;;;17724.6;6.8;2461.2
Арктическая зона РФ;2020;;макрорегион;макрорегион;;;5298835;;;2618714;2612242;-12945;-5.0;;0.49;26083;29658;-3575;10.0;11.4;-1.4;41.0;10.3;15.2;108430;116959;-8529;408;-9150;2028;-32.7;1.6;-35.0;7.8;534909;1566570;517235;1259797;1358917;20.4;59.8;19.8;48.1;51.9;671;340;331;1015269;159018;16.2;80784;4.2;58082.3;3.0;71.9;7052901;2676;1331;48393.9;18.5;17578.6;6.7;2831.2
Арктическая зона РФ;2021;;макрорегион;макрорегион;;;5298835;;2380695;2605769;2599316;-12907;-5.0;0.45;0.49;24770;34405;-9635;9.5;13.2;-3.7;39.3;9.7;17.7;109505;112873;-3368;-713;-9192;8273;-13.0;-2.7;-35.4;31.8;528800;1559193;517776;1252156;1353613;20.2;60.4;19.3;48.1;51.9;655;335;320;1027064;158064;15.9;87249;4.2;63833.3;3.0;73.2;9892975;3770;1867;49345.3;19.0;17712.4;6.8;2696.1
Арктическая зона РФ;2022;;макрорегион;макрорегион;;;5298835;;;2592862;;;;;;;;;;;;;;;;;;;;;;;;;522973;1581931;487958;1247996;1344866;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);1939;;субъект РФ;субъект РФ;;11000000;245817;;447657;;;;;1.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);1959;;субъект РФ;субъект РФ;;11000000;245817;;524747;;;;;2.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);1970;;субъект РФ;субъект РФ;;11000000;245817;;691535;;;;;2.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);1979;;субъект РФ;субъект РФ;;11000000;245817;;785614;;;;;3.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);1989;;субъект РФ;субъект РФ;;11000000;245817;;881894;;;;;3.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);2002;;субъект РФ;субъект РФ;;11000000;245817;;739844;;;;;3.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);2010;;субъект РФ;субъект РФ;;11000000;245817;9838.71;699422;699422;698907;-1031;-1.5;2.85;2.84;8381;9328;-947;12.0;13.3;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);2011;;субъект РФ;субъект РФ;;11000000;245817;10505.85;;698391;696841;-3100;-4.4;;2.83;8156;8851;-695;11.7;12.7;-1.0;;;;;;;;;;;;;;110223;432662;153077;317871;378091;16.0;61.7;22.3;45.7;54.3;620;259;361;;;;;;;;;;;;;;;;
Архангельская область (без НАО);2012;;субъект РФ;субъект РФ;;11000000;245817;11061.89;;695291;693793;-2997;-4.3;;2.82;8493;8426;67;12.2;12.1;0.1;47.2;11.9;12.7;17522;20586;-3064;2447;-5674;163;-44.2;35.3;-81.8;2.3;111900;424248;156246;316391;376003;16.3;60.9;22.8;45.8;54.2;642;268;374;;;;;;;;;174346;250;709;;;;;1058.4
Архангельская область (без НАО);2013;;субъект РФ;субъект РФ;;11000000;245817;12128.26;;692294;690240;-4108;-6.0;;2.81;8373;8339;34;12.1;12.1;0.0;48.1;11.9;12.5;17193;21335;-4142;1543;-5770;85;-60.0;22.4;-83.6;1.2;113913;418892;159489;317581;374713;16.6;60.0;23.3;45.9;54.1;666;277;389;207926;33658;16.2;31210;2.6;23401.7;1.9;75.0;333605;479;1357;;;12786.0;18.5;1529.9
Архангельская область (без НАО);2014;;субъект РФ;субъект РФ;;11000000;245817;13213.71;;688186;686978;-2416;-3.5;;2.79;8271;8256;15;12.0;12.0;0.0;48.4;11.9;12.4;17920;20351;-2431;1997;-4834;406;-35.4;29.1;-70.4;5.9;115670;409944;162572;315526;372660;17.0;59.1;23.9;45.9;54.1;691;287;404;203359;32942;16.2;34536;2.6;25350.5;1.9;73.4;214917;310;874;;;12632.3;18.4;1282.8
Архангельская область (без НАО);2015;;субъект РФ;субъект РФ;;11000000;245817;14639.54;;685770;684221;-3099;-4.5;;2.78;8409;8431;-22;12.3;12.3;0.0;50.1;12.2;12.6;19251;22328;-3077;1777;-5527;673;-45.0;26.0;-80.8;9.8;117344;402548;165878;314613;371157;17.3;58.2;24.5;45.9;54.1;718;298;420;201938;32377;16.0;36609;2.5;26639.8;1.8;72.8;216172;313;879;;;11568.1;16.9;1500.8
Архангельская область (без НАО);2016;;субъект РФ;субъект РФ;;11000000;245817;15670.66;;682671;681258;-2826;-4.1;;2.77;7959;8450;-491;11.7;12.4;-0.7;48.1;11.6;12.6;20810;23145;-2335;1779;-4824;710;-34.3;26.1;-70.8;10.4;119699;394123;168849;313442;369229;17.7;57.3;25.0;45.9;54.1;744;309;436;197738;31337;15.8;39177;2.5;28201.8;1.8;72.0;211395;308;860;;;11680.7;17.1;1417.4
Архангельская область (без НАО);2017;;субъект РФ;субъект РФ;;11000000;245817;16183.51;;679845;677575;-4540;-6.7;;2.76;7045;8040;-995;10.4;11.9;-1.5;43.2;10.4;12.0;20953;24498;-3545;1351;-5153;257;-52.3;19.9;-76.1;3.8;121409;387002;171434;312203;367642;17.9;56.6;25.5;45.9;54.1;767;317;450;193138;30289;15.7;41902;2.6;30412.5;1.9;72.6;355602;520;1447;;;12102.8;17.9;1446.0
Архангельская область (без НАО);2018;;субъект РФ;субъект РФ;;11000000;245817;16788.63;;675305;673109;-4392;-6.5;;2.74;6395;8121;-1726;9.5;12.1;-2.6;39.7;9.5;12.1;21771;24437;-2666;1485;-4045;-106;-39.6;22.1;-60.1;-1.6;121691;380088;173526;310159;365146;18.0;56.1;25.9;45.9;54.1;784;321;462;192710;29414;15.3;47574;2.8;34505.2;2.1;72.5;305090;448;1241;;;12154.8;18.1;1220.6
Архангельская область (без НАО);2019;;субъект РФ;субъект РФ;;11000000;245817;17442.2;;670913;669228;-3371;-5.0;;2.72;5786;8140;-2354;8.6;12.2;-3.5;36.3;8.6;12.1;21019;22036;-1017;1197;-3015;801;-15.2;17.9;-45.1;12.0;120912;374695;175306;308324;362589;17.9;55.7;26.3;46.0;54.0;794;322;472;190686;27445;14.4;51878;3.0;37219.5;2.1;71.7;275756;407;1122;;;12338.5;18.4;1218.1
