transport,departure,arrival,passengers
avia,Мурманск,Москва,33435
avia,Москва,Мурманск,26928
avia,Санкт-Петербург,Архангельск,18210
avia,Архангельск,Санкт-Петербург,16990
avia,Мурманск,Санкт-Петербург,16706
avia,Новый Уренгой,Москва,15136
avia,Санкт-Петербург,Мурманск,15307
avia,Москва,Новый Уренгой,13780
avia,Архангельск,Москва,12862
avia,Москва,Архангельск,13289
avia,Новый Уренгой,Тюмень,9261
avia,Салехард,Тюмень,8963
avia,Надым,Москва,7510
avia,Тюмень,Салехард,7515
avia,Салехард,Москва,7771
avia,Тюмень,Новый Уренгой,7212
avia,Ноябрьск,Москва,6729
avia,Москва,Салехард,6748
avia,Москва,Надым,5709
avia,Новый Уренгой,Новосибирск,4970
avia,Москва,Ноябрьск,4303
avia,Новый Уренгой,Уфа,4057
avia,Уфа,Новый Уренгой,4050
avia,Екатеринбург,Салехард,3923
avia,Тюмень,Надым,3475
avia,Новосибирск,Новый Уренгой,3467
avia,Новый Уренгой,Санкт-Петербург,3367
avia,Надым,Тюмень,3321
avia,Салехард,Екатеринбург,3314
avia,Мурманск,Краснодар,3129
avia,Норильск,Москва,3089
avia,Санкт-Петербург,Апатиты,3163
avia,Красноярск,Норильск,2946
avia,Краснодар,Мурманск,2950
avia,Москва,Апатиты,3078
avia,Апатиты,Санкт-Петербург,2801
avia,Новый Уренгой,Салехард,2843
avia,Апатиты,Москва,2989
avia,Санкт-Петербург,Новый Уренгой,2742
avia,Салехард,Новый Уренгой,2550
avia,Новый Уренгой,Екатеринбург,2526
avia,Санкт-Петербург,Салехард,2700
avia,Норильск,Красноярск,2517
avia,Мурманск,Архангельск,2454
avia,Анадырь,Москва,2469
avia,Москва,Норильск,2455
avia,Краснодар,Новый Уренгой,2380
avia,Санкт-Петербург,Ноябрьск,2279
avia,Москва,Усинск,2375
avia,Москва,Анадырь,2161
avia,Новый Уренгой,Казань,2201
avia,Салехард,Санкт-Петербург,2200
avia,Новый Уренгой,Омск,2104
avia,Екатеринбург,Новый Уренгой,2136
avia,Салехард,Ноябрьск,2103
avia,Новый Уренгой,Краснодар,2020
avia,Ноябрьск,Санкт-Петербург,2039
avia,Мурманск,Симферополь (Крым),2002
avia,Тюмень,Ноябрьск,2014
avia,Сочи,Архангельск,1895
avia,Нарьян-Мар,Архангельск,1809
avia,Новый Уренгой,Минеральные Воды,1918
avia,Ноябрьск,Салехард,1790
avia,Бугульма,Новый Уренгой,1751
avia,Новый Уренгой,Самара,1695
avia,Архангельск,Сочи,1746
avia,Усинск,Москва,1747
avia,Мурманск,Ростов-на-Дону,1591
avia,Новый Уренгой,Ростов-на-Дону,1631
avia,Архангельск,Нарьян-Мар,1505
avia,Ростов-на-Дону,Мурманск,1460
avia,Новый Уренгой,Бугульма,1443
avia,Новый Уренгой,Пермь,1539
avia,Надым,Екатеринбург,1496
avia,Нарьян-Мар,Москва,1452
avia,Новосибирск,Ноябрьск,1320
avia,Архангельск,Мурманск,1316
avia,Ноябрьск,Новосибирск,1360
avia,Минеральные Воды,Новый Уренгой,1336
avia,Ноябрьск,Тюмень,1282
avia,Пермь,Новый Уренгой,1287
avia,Ростов-на-Дону,Новый Уренгой,1327
avia,Мурманск,Минеральные Воды,1309
avia,Омск,Новый Уренгой,1220
avia,Мурманск,Сочи,1177
avia,Надым,Уфа,1169
avia,Салехард,Омск,1282
avia,Мурманск,Калининград,1216
avia,Ноябрьск,Екатеринбург,1141
avia,Екатеринбург,Ноябрьск,1096
avia,Усинск,Казань,1152
avia,Минеральные Воды,Мурманск,1127
avia,Махачкала,Новый Уренгой,1214
avia,Сочи,Мурманск,1220
avia,Уфа,Ноябрьск,1178
avia,Новый Уренгой,Махачкала,1156
avia,Архангельск,Краснодар,1115
avia,Омск,Салехард,1087
avia,Краснодар,Архангельск,1009
avia,Симферополь (Крым),Архангельск,1016
avia,Салехард,Краснодар,1066
avia,Волгоград,Новый Уренгой,996
avia,Краснодар,Салехард,1023
avia,Новый Уренгой,Белгород,1011
avia,Архангельск,Симферополь (Крым),1032
