Города и пгт;1939 г.;1959 г.;1970 г.;1979 г.;1989 г.;2002 г.;2010 г.;2021 г.;МО;Регион;Тип;Широта;Долгота
г. Архангельск;284570;256309;342590;385028;416812;356051;348783;301199;ГО Архангельск;Архангельская область (без НАО);город;64.5401;40.5433
г. Мурманск;117069;221874;308642;380817;472274;336137;307257;270384;ГО Мурманск;Мурманская область;город;68.97917;33.09251
г. Норильск;;109442;135487;180358;179757;134832;175365;174453;ГО Норильск;Красноярский край;город;69.3535;88.2027
г. Северодвинск;21304;78657;144672;197232;253864;201551;192353;157213;ГО Северодвинск;Архангельская область (без НАО);город;64.5635;39.8302
г. Новый Уренгой;;;;;95254;94456;104107;107251;ГО Новый Уренгой;Ямало-Ненецкий АО;город;66.08333;76.63333
г. Ноябрьск;;;;;87144;96440;110620;100188;ГО Ноябрьск;Ямало-Ненецкий АО;город;63.19309;75.43728
г. Воркута;;55668;89742;100210;115329;84917;70548;56985;ГО Воркута;Республика Коми;город;67.49884;64.05253
г. Апатиты;;;45627;62010;88066;64405;59672;49647;МО Апатиты;Мурманская область;город;67.56414;33.4031
г. Салехард;12764;16567;21929;24935;33207;36827;42544;47910;ГО Салехард;Ямало-Ненецкий АО;город;66.53;66.60194
г. Надым;;;;26058;53659;45943;46611;45973;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667
г. Североморск;;28116;40919;50090;63495;55102;50060;43327;ЗАТО Североморск;Мурманская область;город;69.06889;33.41622
г. Мончегорск;28450;45523;45980;51401;70856;52242;45361;39962;МО Мончегорск;Мурманская область;город;67.93972;32.87389
г. Новодвинск;;;;47764;49787;43383;40615;33294;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122
г. Губкинский;;;;;;20407;23335;33273;ГО Губкинский;Ямало-Ненецкий АО;город;64.434;76.50261
г. Усинск;;;;;47419;45358;40827;32182;ГО Усинск;Республика Коми;город;65.99389;57.52806
г. Муравленко;;;;;;35926;33391;29233;ГО Муравленко;Ямало-Ненецкий АО;город;63.78977;74.52301
г. Кандалакша;22172;38222;42656;45430;54246;40564;35654;29138;МР Кандалакшский;Мурманская область;город;67.15123;32.41284
г. Костомукша;;;;;31192;29746;28436;26048;ГО Костомукша;Республика Карелия;город;64.571;30.57667
г. Лабытнанги;;;;17667;32331;27304;26936;25501;ГО Лабытнанги;Ямало-Ненецкий АО;город;66.65722;66.41833
г. Кировск;22542;39047;38484;40521;43629;31593;28625;24857;МО Кировск;Мурманская область;город;67.61475;33.67274
г. Сегежа;;19708;28810;36420;37707;34214;29631;23543;МР Сегежский;Республика Карелия;город;63.74147;34.32218
г. Нарьян-Мар;13670;13222;16864;23435;20012;18611;21658;23399;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371
г. Оленегорск;;12110;21485;27369;36377;25166;23072;21438;МО Оленегорск;Мурманская область;город;68.1432;33.25287
г. Инта;;45136;50178;50862;61798;41217;32080;20271;ГО Инта;Республика Коми;город;66.03169;60.16594
г. Тарко-Сале;;;;;;;20398;19900;МО Пуровский;Ямало-Ненецкий АО;город;64.91611;77.77457
г. Дудинка;;16332;19701;24758;32180;25132;22175;19556;МР Таймырский Долгано-Ненецкий;Красноярский край;город;69.40583;86.17778
г. Онега;15783;21306;25047;24986;25748;23430;21359;16947;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355
г. Ковдор;;;12387;23211;31229;20867;18820;15770;МО Ковдорский;Мурманская область;город;67.56616;30.47576
